cmn_idx;event_type;event_id;node_id;counts
0;0x6;0x71;0x0;0
0;0x6;0x75;0x0;97113
0;0x6;0x71;0x8;158663
0;0x6;0x75;0x8;119728
0;0x6;0x71;0x10;159122
0;0x6;0x75;0x10;125616
0;0x6;0x71;0x18;161803
0;0x6;0x75;0x18;111333
0;0x6;0x71;0x20;163874
0;0x6;0x75;0x20;63643
0;0x6;0x71;0x28;0
0;0x6;0x75;0x28;0
0;0x6;0x71;0x30;0
0;0x6;0x75;0x30;0
0;0x6;0x71;0x38;0
0;0x6;0x75;0x38;0
0;0x6;0x71;0x40;2573
0;0x6;0x75;0x40;1562
0;0x6;0x71;0x48;91
0;0x6;0x75;0x48;459
0;0x6;0x71;0x50;40352702
0;0x6;0x75;0x50;275
0;0x6;0x71;0x58;28219
0;0x6;0x75;0x58;0
0;0x6;0x71;0x60;0
0;0x6;0x75;0x60;0
0;0x6;0x71;0x68;0
0;0x6;0x75;0x68;91
0;0x6;0x71;0x70;183
0;0x6;0x75;0x70;91
0;0x6;0x71;0x78;0
0;0x6;0x75;0x78;0
0;0x6;0x71;0x80;0
0;0x6;0x75;0x80;0
0;0x6;0x71;0x88;0
0;0x6;0x75;0x88;93634
0;0x6;0x71;0x90;0
0;0x6;0x75;0x90;90845
0;0x6;0x71;0x98;0
0;0x6;0x75;0x98;89007
0;0x6;0x71;0xa0;0
0;0x6;0x75;0xa0;127212
0;0x6;0x71;0xa8;0
0;0x6;0x75;0xa8;0
0;0x6;0x71;0xb0;0
0;0x6;0x75;0xb0;0
0;0x6;0x71;0xb8;0
0;0x6;0x75;0xb8;0
0;0x6;0x71;0xc0;275
0;0x6;0x75;0xc0;91
0;0x6;0x71;0xc8;0
0;0x6;0x75;0xc8;0
0;0x6;0x71;0xd0;0
0;0x6;0x75;0xd0;0
0;0x6;0x71;0xd8;91
0;0x6;0x75;0xd8;0
0;0x6;0x71;0xe0;91
0;0x6;0x75;0xe0;0
0;0x6;0x71;0xe8;0
0;0x6;0x75;0xe8;0
0;0x6;0x71;0xf0;367
0;0x6;0x75;0xf0;0
0;0x6;0x71;0xf8;0
0;0x6;0x75;0xf8;0
0;0x6;0x71;0x100;183
0;0x6;0x75;0x100;0
0;0x6;0x71;0x108;183
0;0x6;0x75;0x108;183
0;0x6;0x71;0x110;0
0;0x6;0x75;0x110;183
0;0x6;0x71;0x118;0
0;0x6;0x75;0x118;0
0;0x6;0x71;0x120;0
0;0x6;0x75;0x120;0
0;0x6;0x71;0x128;91633
0;0x6;0x75;0x128;91
0;0x6;0x71;0x130;91
0;0x6;0x75;0x130;91
0;0x6;0x71;0x138;183
0;0x6;0x75;0x138;91
0;0x6;0x71;0x140;0
0;0x6;0x75;0x140;0
0;0x6;0x71;0x148;0
0;0x6;0x75;0x148;11886
0;0x6;0x71;0x150;0
0;0x6;0x75;0x150;8363
0;0x6;0x71;0x158;0
0;0x6;0x75;0x158;9190
0;0x6;0x71;0x160;0
0;0x6;0x75;0x160;11917
0;0x6;0x71;0x168;0
0;0x6;0x75;0x168;0
0;0x6;0x71;0x170;0
0;0x6;0x75;0x170;0
0;0x6;0x71;0x178;2210715
0;0x6;0x75;0x178;5744759
0;0x6;0x71;0x180;183
0;0x6;0x75;0x180;91
0;0x6;0x71;0x188;0
0;0x6;0x75;0x188;0
0;0x6;0x71;0x190;58020
0;0x6;0x75;0x190;91
0;0x6;0x71;0x198;459
0;0x6;0x75;0x198;275
0;0x6;0x71;0x1a0;827
0;0x6;0x75;0x1a0;275
0;0x6;0x71;0x1a8;275
0;0x6;0x75;0x1a8;275
0;0x6;0x71;0x1b0;275
0;0x6;0x75;0x1b0;39980598
0;0x6;0x71;0x1b8;0
0;0x6;0x75;0x1b8;0
0;0x6;0x71;0x1c0;0
0;0x6;0x75;0x1c0;97624
0;0x6;0x71;0x1c8;91
0;0x6;0x75;0x1c8;9618
0;0x6;0x71;0x1d0;122
0;0x6;0x75;0x1d0;28543
0;0x6;0x71;0x1d8;6169
0;0x6;0x75;0x1d8;33977
0;0x6;0x71;0x1e0;46063
0;0x6;0x75;0x1e0;431218
0;0x6;0x71;0x1e8;0
0;0x6;0x75;0x1e8;0
0;0x6;0x71;0x1f0;0
0;0x6;0x75;0x1f0;0
0;0x6;0x71;0x1f8;0
0;0x6;0x75;0x1f8;0
