cmn_idx;event_type;event_id;node_id;counts
0;0x6;0x71;0x0;0
0;0x6;0x75;0x0;94052
0;0x6;0x71;0x8;151705
0;0x6;0x75;0x8;113673
0;0x6;0x71;0x10;153260
0;0x6;0x75;0x10;113368
0;0x6;0x71;0x18;154830
0;0x6;0x75;0x18;104767
0;0x6;0x71;0x20;157703
0;0x6;0x75;0x20;51716
0;0x6;0x71;0x28;0
0;0x6;0x75;0x28;0
0;0x6;0x71;0x30;0
0;0x6;0x75;0x30;0
0;0x6;0x71;0x38;0
0;0x6;0x75;0x38;0
0;0x6;0x71;0x40;890
0;0x6;0x75;0x40;267
0;0x6;0x71;0x48;0
0;0x6;0x75;0x48;0
0;0x6;0x71;0x50;40272237
0;0x6;0x75;0x50;178
0;0x6;0x71;0x58;16025
0;0x6;0x75;0x58;267
0;0x6;0x71;0x60;0
0;0x6;0x75;0x60;89
0;0x6;0x71;0x68;89
0;0x6;0x75;0x68;89
0;0x6;0x71;0x70;89
0;0x6;0x75;0x70;89
0;0x6;0x71;0x78;267
0;0x6;0x75;0x78;0
0;0x6;0x71;0x80;0
0;0x6;0x75;0x80;0
0;0x6;0x71;0x88;0
0;0x6;0x75;0x88;88968
0;0x6;0x71;0x90;0
0;0x6;0x75;0x90;83774
0;0x6;0x71;0x98;0
0;0x6;0x75;0x98;86979
0;0x6;0x71;0xa0;0
0;0x6;0x75;0xa0;126358
0;0x6;0x71;0xa8;0
0;0x6;0x75;0xa8;0
0;0x6;0x71;0xb0;0
0;0x6;0x75;0xb0;0
0;0x6;0x71;0xb8;0
0;0x6;0x75;0xb8;0
0;0x6;0x71;0xc0;89
0;0x6;0x75;0xc0;89
0;0x6;0x71;0xc8;0
0;0x6;0x75;0xc8;0
0;0x6;0x71;0xd0;0
0;0x6;0x75;0xd0;89
0;0x6;0x71;0xd8;0
0;0x6;0x75;0xd8;89
0;0x6;0x71;0xe0;0
0;0x6;0x75;0xe0;0
0;0x6;0x71;0xe8;0
0;0x6;0x75;0xe8;0
0;0x6;0x71;0xf0;30089
0;0x6;0x75;0xf0;0
0;0x6;0x71;0xf8;0
0;0x6;0x75;0xf8;178
0;0x6;0x71;0x100;178
0;0x6;0x75;0x100;356
0;0x6;0x71;0x108;712
0;0x6;0x75;0x108;445
0;0x6;0x71;0x110;534
0;0x6;0x75;0x110;534
0;0x6;0x71;0x118;534
0;0x6;0x75;0x118;534
0;0x6;0x71;0x120;979
0;0x6;0x75;0x120;89
0;0x6;0x71;0x128;89256
0;0x6;0x75;0x128;89
0;0x6;0x71;0x130;267
0;0x6;0x75;0x130;89
0;0x6;0x71;0x138;178
0;0x6;0x75;0x138;89
0;0x6;0x71;0x140;0
0;0x6;0x75;0x140;0
0;0x6;0x71;0x148;0
0;0x6;0x75;0x148;9257
0;0x6;0x71;0x150;0
0;0x6;0x75;0x150;7833
0;0x6;0x71;0x158;0
0;0x6;0x75;0x158;7714
0;0x6;0x71;0x160;0
0;0x6;0x75;0x160;10770
0;0x6;0x71;0x168;0
0;0x6;0x75;0x168;0
0;0x6;0x71;0x170;0
0;0x6;0x75;0x170;0
0;0x6;0x71;0x178;2152302
0;0x6;0x75;0x178;5567294
0;0x6;0x71;0x180;89
0;0x6;0x75;0x180;0
0;0x6;0x71;0x188;89
0;0x6;0x75;0x188;445
0;0x6;0x71;0x190;72686
0;0x6;0x75;0x190;1780
0;0x6;0x71;0x198;2492
0;0x6;0x75;0x198;5072
0;0x6;0x71;0x1a0;1839
0;0x6;0x75;0x1a0;39958663
0;0x6;0x71;0x1a8;40792
0;0x6;0x75;0x1a8;34416
0;0x6;0x71;0x1b0;40767
0;0x6;0x75;0x1b0;5844
0;0x6;0x71;0x1b8;48887
0;0x6;0x75;0x1b8;7090
0;0x6;0x71;0x1c0;0
0;0x6;0x75;0x1c0;94552
0;0x6;0x71;0x1c8;11260
0;0x6;0x75;0x1c8;56656
0;0x6;0x71;0x1d0;14766
0;0x6;0x75;0x1d0;49511
0;0x6;0x71;0x1d8;771
0;0x6;0x75;0x1d8;11807
0;0x6;0x71;0x1e0;771
0;0x6;0x75;0x1e0;8336
0;0x6;0x71;0x1e8;0
0;0x6;0x75;0x1e8;0
0;0x6;0x71;0x1f0;0
0;0x6;0x75;0x1f0;0
0;0x6;0x71;0x1f8;0
0;0x6;0x75;0x1f8;0
