cmn_idx;event_type;event_id;node_id;counts
0;0x6;0x71;0x0;0
0;0x6;0x75;0x0;84084
0;0x6;0x71;0x8;137346
0;0x6;0x75;0x8;110716
0;0x6;0x71;0x10;136133
0;0x6;0x75;0x10;109445
0;0x6;0x71;0x18;135367
0;0x6;0x75;0x18;93916
0;0x6;0x71;0x20;136988
0;0x6;0x75;0x20;45698
0;0x6;0x71;0x28;0
0;0x6;0x75;0x28;0
0;0x6;0x71;0x30;0
0;0x6;0x75;0x30;0
0;0x6;0x71;0x38;0
0;0x6;0x75;0x38;0
0;0x6;0x71;0x40;790
0;0x6;0x75;0x40;39904789
0;0x6;0x71;0x48;237
0;0x6;0x75;0x48;158
0;0x6;0x71;0x50;40264082
0;0x6;0x75;0x50;158
0;0x6;0x71;0x58;40810
0;0x6;0x75;0x58;158
0;0x6;0x71;0x60;0
0;0x6;0x75;0x60;79
0;0x6;0x71;0x68;316
0;0x6;0x75;0x68;316
0;0x6;0x71;0x70;395
0;0x6;0x75;0x70;237
0;0x6;0x71;0x78;158
0;0x6;0x75;0x78;158
0;0x6;0x71;0x80;0
0;0x6;0x75;0x80;0
0;0x6;0x71;0x88;0
0;0x6;0x75;0x88;73304
0;0x6;0x71;0x90;0
0;0x6;0x75;0x90;71761
0;0x6;0x71;0x98;0
0;0x6;0x75;0x98;69364
0;0x6;0x71;0xa0;0
0;0x6;0x75;0xa0;106639
0;0x6;0x71;0xa8;0
0;0x6;0x75;0xa8;0
0;0x6;0x71;0xb0;0
0;0x6;0x75;0xb0;0
0;0x6;0x71;0xb8;0
0;0x6;0x75;0xb8;0
0;0x6;0x71;0xc0;79
0;0x6;0x75;0xc0;553
0;0x6;0x71;0xc8;0
0;0x6;0x75;0xc8;0
0;0x6;0x71;0xd0;0
0;0x6;0x75;0xd0;79
0;0x6;0x71;0xd8;790
0;0x6;0x75;0xd8;79
0;0x6;0x71;0xe0;0
0;0x6;0x75;0xe0;0
0;0x6;0x71;0xe8;0
0;0x6;0x75;0xe8;237
0;0x6;0x71;0xf0;38170
0;0x6;0x75;0xf0;0
0;0x6;0x71;0xf8;0
0;0x6;0x75;0xf8;0
0;0x6;0x71;0x100;316
0;0x6;0x75;0x100;0
0;0x6;0x71;0x108;79
0;0x6;0x75;0x108;0
0;0x6;0x71;0x110;79
0;0x6;0x75;0x110;316
0;0x6;0x71;0x118;79
0;0x6;0x75;0x118;0
0;0x6;0x71;0x120;79
0;0x6;0x75;0x120;316
0;0x6;0x71;0x128;395
0;0x6;0x75;0x128;316
0;0x6;0x71;0x130;237
0;0x6;0x75;0x130;316
0;0x6;0x71;0x138;632
0;0x6;0x75;0x138;237
0;0x6;0x71;0x140;0
0;0x6;0x75;0x140;0
0;0x6;0x71;0x148;0
0;0x6;0x75;0x148;26765
0;0x6;0x71;0x150;0
0;0x6;0x75;0x150;29288
0;0x6;0x71;0x158;0
0;0x6;0x75;0x158;31883
0;0x6;0x71;0x160;0
0;0x6;0x75;0x160;37557
0;0x6;0x71;0x168;0
0;0x6;0x75;0x168;0
0;0x6;0x71;0x170;0
0;0x6;0x75;0x170;0
0;0x6;0x71;0x178;1910152
0;0x6;0x75;0x178;4960639
0;0x6;0x71;0x180;158
0;0x6;0x75;0x180;0
0;0x6;0x71;0x188;47410
0;0x6;0x75;0x188;158
0;0x6;0x71;0x190;66429
0;0x6;0x75;0x190;0
0;0x6;0x71;0x198;0
0;0x6;0x75;0x198;474
0;0x6;0x71;0x1a0;1422
0;0x6;0x75;0x1a0;632
0;0x6;0x71;0x1a8;474
0;0x6;0x75;0x1a8;474
0;0x6;0x71;0x1b0;474
0;0x6;0x75;0x1b0;474
0;0x6;0x71;0x1b8;474
0;0x6;0x75;0x1b8;0
0;0x6;0x71;0x1c0;0
0;0x6;0x75;0x1c0;83910
0;0x6;0x71;0x1c8;474
0;0x6;0x75;0x1c8;10482
0;0x6;0x71;0x1d0;263
0;0x6;0x75;0x1d0;7795
0;0x6;0x71;0x1d8;263
0;0x6;0x75;0x1d8;13063
0;0x6;0x71;0x1e0;421
0;0x6;0x75;0x1e0;6900
0;0x6;0x71;0x1e8;0
0;0x6;0x75;0x1e8;0
0;0x6;0x71;0x1f0;0
0;0x6;0x75;0x1f0;0
0;0x6;0x71;0x1f8;0
0;0x6;0x75;0x1f8;0
