cmn_idx;event_type;event_id;node_id;counts
0;0x6;0x71;0x0;0
0;0x6;0x75;0x0;96989
0;0x6;0x71;0x8;379838
0;0x6;0x75;0x8;284335
0;0x6;0x71;0x10;293643
0;0x6;0x75;0x10;259421
0;0x6;0x71;0x18;2794
0;0x6;0x75;0x18;108486
0;0x6;0x71;0x20;1243
0;0x6;0x75;0x20;31231
0;0x6;0x71;0x28;0
0;0x6;0x75;0x28;0
0;0x6;0x71;0x30;0
0;0x6;0x75;0x30;0
0;0x6;0x71;0x38;0
0;0x6;0x75;0x38;0
0;0x6;0x71;0x40;16944
0;0x6;0x75;0x40;82797
0;0x6;0x71;0x48;40498470
0;0x6;0x75;0x48;3729
0;0x6;0x71;0x50;28291
0;0x6;0x75;0x50;31384
0;0x6;0x71;0x58;120532
0;0x6;0x75;0x58;13191
0;0x6;0x71;0x60;75761
0;0x6;0x75;0x60;14100
0;0x6;0x71;0x68;66711
0;0x6;0x75;0x68;10915
0;0x6;0x71;0x70;181
0;0x6;0x75;0x70;727
0;0x6;0x71;0x78;545
0;0x6;0x75;0x78;454
0;0x6;0x71;0x80;0
0;0x6;0x75;0x80;0
0;0x6;0x71;0x88;0
0;0x6;0x75;0x88;212628
0;0x6;0x71;0x90;0
0;0x6;0x75;0x90;134950
0;0x6;0x71;0x98;0
0;0x6;0x75;0x98;17008
0;0x6;0x71;0xa0;0
0;0x6;0x75;0xa0;15523
0;0x6;0x71;0xa8;0
0;0x6;0x75;0xa8;0
0;0x6;0x71;0xb0;0
0;0x6;0x75;0xb0;0
0;0x6;0x71;0xb8;0
0;0x6;0x75;0xb8;0
0;0x6;0x71;0xc0;272
0;0x6;0x75;0xc0;363
0;0x6;0x71;0xc8;5396
0;0x6;0x75;0xc8;363
0;0x6;0x71;0xd0;90
0;0x6;0x75;0xd0;363
0;0x6;0x71;0xd8;90
0;0x6;0x75;0xd8;272
0;0x6;0x71;0xe0;90
0;0x6;0x75;0xe0;90
0;0x6;0x71;0xe8;90
0;0x6;0x75;0xe8;90
0;0x6;0x71;0xf0;90
0;0x6;0x75;0xf0;0
0;0x6;0x71;0xf8;0
0;0x6;0x75;0xf8;0
0;0x6;0x71;0x100;272
0;0x6;0x75;0x100;90
0;0x6;0x71;0x108;0
0;0x6;0x75;0x108;90
0;0x6;0x71;0x110;454
0;0x6;0x75;0x110;90
0;0x6;0x71;0x118;636
0;0x6;0x75;0x118;272
0;0x6;0x71;0x120;181
0;0x6;0x75;0x120;181
0;0x6;0x71;0x128;90
0;0x6;0x75;0x128;40019613
0;0x6;0x71;0x130;181
0;0x6;0x75;0x130;90
0;0x6;0x71;0x138;90
0;0x6;0x75;0x138;90
0;0x6;0x71;0x140;0
0;0x6;0x75;0x140;0
0;0x6;0x71;0x148;0
0;0x6;0x75;0x148;16036
0;0x6;0x71;0x150;0
0;0x6;0x75;0x150;15733
0;0x6;0x71;0x158;0
0;0x6;0x75;0x158;13399
0;0x6;0x71;0x160;0
0;0x6;0x75;0x160;13369
0;0x6;0x71;0x168;0
0;0x6;0x75;0x168;0
0;0x6;0x71;0x170;0
0;0x6;0x75;0x170;0
0;0x6;0x71;0x178;2182833
0;0x6;0x75;0x178;5692640
0;0x6;0x71;0x180;181
0;0x6;0x75;0x180;181
0;0x6;0x71;0x188;90
0;0x6;0x75;0x188;272
0;0x6;0x71;0x190;90
0;0x6;0x75;0x190;181
0;0x6;0x71;0x198;58477
0;0x6;0x75;0x198;454
0;0x6;0x71;0x1a0;1000
0;0x6;0x75;0x1a0;909
0;0x6;0x71;0x1a8;727
0;0x6;0x75;0x1a8;909
0;0x6;0x71;0x1b0;1091
0;0x6;0x75;0x1b0;164421
0;0x6;0x71;0x1b8;909
0;0x6;0x75;0x1b8;363
0;0x6;0x71;0x1c0;0
0;0x6;0x75;0x1c0;97093
0;0x6;0x71;0x1c8;272
0;0x6;0x75;0x1c8;46769
0;0x6;0x71;0x1d0;20011
0;0x6;0x75;0x1d0;52649
0;0x6;0x71;0x1d8;0
0;0x6;0x75;0x1d8;18590
0;0x6;0x71;0x1e0;46
0;0x6;0x75;0x1e0;16652
0;0x6;0x71;0x1e8;0
0;0x6;0x75;0x1e8;0
0;0x6;0x71;0x1f0;0
0;0x6;0x75;0x1f0;0
0;0x6;0x71;0x1f8;0
0;0x6;0x75;0x1f8;43164
