cmn_idx;event_type;event_id;node_id;counts
0;0x6;0x71;0x0;0
0;0x6;0x75;0x0;90821
0;0x6;0x71;0x8;358815
0;0x6;0x75;0x8;272417
0;0x6;0x71;0x10;282087
0;0x6;0x75;0x10;364788
0;0x6;0x71;0x18;5508
0;0x6;0x75;0x18;177442
0;0x6;0x71;0x20;2848
0;0x6;0x75;0x20;108150
0;0x6;0x71;0x28;0
0;0x6;0x75;0x28;0
0;0x6;0x71;0x30;0
0;0x6;0x75;0x30;0
0;0x6;0x71;0x38;515
0;0x6;0x75;0x38;1270845
0;0x6;0x71;0x40;19491
0;0x6;0x75;0x40;7555
0;0x6;0x71;0x48;40368906
0;0x6;0x75;0x48;686
0;0x6;0x71;0x50;10990
0;0x6;0x75;0x50;515
0;0x6;0x71;0x58;58128
0;0x6;0x75;0x58;429
0;0x6;0x71;0x60;11562
0;0x6;0x75;0x60;515
0;0x6;0x71;0x68;257
0;0x6;0x75;0x68;429
0;0x6;0x71;0x70;171
0;0x6;0x75;0x70;257
0;0x6;0x71;0x78;343
0;0x6;0x75;0x78;343
0;0x6;0x71;0x80;0
0;0x6;0x75;0x80;85
0;0x6;0x71;0x88;0
0;0x6;0x75;0x88;210030
0;0x6;0x71;0x90;0
0;0x6;0x75;0x90;137030
0;0x6;0x71;0x98;0
0;0x6;0x75;0x98;26959
0;0x6;0x71;0xa0;0
0;0x6;0x75;0xa0;24355
0;0x6;0x71;0xa8;0
0;0x6;0x75;0xa8;0
0;0x6;0x71;0xb0;0
0;0x6;0x75;0xb0;0
0;0x6;0x71;0xb8;0
0;0x6;0x75;0xb8;0
0;0x6;0x71;0xc0;429
0;0x6;0x75;0xc0;85
0;0x6;0x71;0xc8;2461
0;0x6;0x75;0xc8;85
0;0x6;0x71;0xd0;0
0;0x6;0x75;0xd0;257
0;0x6;0x71;0xd8;171
0;0x6;0x75;0xd8;1116
0;0x6;0x71;0xe0;0
0;0x6;0x75;0xe0;0
0;0x6;0x71;0xe8;39910281
0;0x6;0x75;0xe8;85
0;0x6;0x71;0xf0;85
0;0x6;0x75;0xf0;0
0;0x6;0x71;0xf8;85
0;0x6;0x75;0xf8;0
0;0x6;0x71;0x100;85
0;0x6;0x75;0x100;85
0;0x6;0x71;0x108;0
0;0x6;0x75;0x108;85
0;0x6;0x71;0x110;0
0;0x6;0x75;0x110;0
0;0x6;0x71;0x118;85
0;0x6;0x75;0x118;0
0;0x6;0x71;0x120;0
0;0x6;0x75;0x120;0
0;0x6;0x71;0x128;85
0;0x6;0x75;0x128;0
0;0x6;0x71;0x130;343
0;0x6;0x75;0x130;429
0;0x6;0x71;0x138;515
0;0x6;0x75;0x138;686
0;0x6;0x71;0x140;0
0;0x6;0x75;0x140;0
0;0x6;0x71;0x148;0
0;0x6;0x75;0x148;16396
0;0x6;0x71;0x150;0
0;0x6;0x75;0x150;14022
0;0x6;0x71;0x158;0
0;0x6;0x75;0x158;18657
0;0x6;0x71;0x160;0
0;0x6;0x75;0x160;19486
0;0x6;0x71;0x168;0
0;0x6;0x75;0x168;0
0;0x6;0x71;0x170;0
0;0x6;0x75;0x170;0
0;0x6;0x71;0x178;2075697
0;0x6;0x75;0x178;5368641
0;0x6;0x71;0x180;515
0;0x6;0x75;0x180;429
0;0x6;0x71;0x188;515
0;0x6;0x75;0x188;171
0;0x6;0x71;0x190;138868
0;0x6;0x75;0x190;1163
0;0x6;0x71;0x198;1339
0;0x6;0x75;0x198;1028
0;0x6;0x71;0x1a0;778
0;0x6;0x75;0x1a0;1088
0;0x6;0x71;0x1a8;928
0;0x6;0x75;0x1a8;881
0;0x6;0x71;0x1b0;1151
0;0x6;0x75;0x1b0;160811
0;0x6;0x71;0x1b8;0
0;0x6;0x75;0x1b8;0
0;0x6;0x71;0x1c0;0
0;0x6;0x75;0x1c0;91163
0;0x6;0x71;0x1c8;1030
0;0x6;0x75;0x1c8;18484
0;0x6;0x71;0x1d0;572
0;0x6;0x75;0x1d0;21745
0;0x6;0x71;0x1d8;114
0;0x6;0x75;0x1d8;14935
0;0x6;0x71;0x1e0;0
0;0x6;0x75;0x1e0;10185
0;0x6;0x71;0x1e8;0
0;0x6;0x75;0x1e8;0
0;0x6;0x71;0x1f0;0
0;0x6;0x75;0x1f0;0
0;0x6;0x71;0x1f8;0
0;0x6;0x75;0x1f8;40742
