cmn_idx;event_type;event_id;node_id;counts
0;0x6;0x71;0x0;0
0;0x6;0x75;0x0;90442
0;0x6;0x71;0x8;336482
0;0x6;0x75;0x8;188913
0;0x6;0x71;0x10;261809
0;0x6;0x75;0x10;189354
0;0x6;0x71;0x18;1915
0;0x6;0x75;0x18;80483
0;0x6;0x71;0x20;483
0;0x6;0x75;0x20;20806
0;0x6;0x71;0x28;0
0;0x6;0x75;0x28;0
0;0x6;0x71;0x30;0
0;0x6;0x75;0x30;0
0;0x6;0x71;0x38;0
0;0x6;0x75;0x38;0
0;0x6;0x71;0x40;1793
0;0x6;0x75;0x40;939
0;0x6;0x71;0x48;40323507
0;0x6;0x75;0x48;256
0;0x6;0x71;0x50;15455
0;0x6;0x75;0x50;0
0;0x6;0x71;0x58;9392
0;0x6;0x75;0x58;85
0;0x6;0x71;0x60;58261
0;0x6;0x75;0x60;85
0;0x6;0x71;0x68;426
0;0x6;0x75;0x68;0
0;0x6;0x71;0x70;0
0;0x6;0x75;0x70;0
0;0x6;0x71;0x78;0
0;0x6;0x75;0x78;85
0;0x6;0x71;0x80;0
0;0x6;0x75;0x80;0
0;0x6;0x71;0x88;0
0;0x6;0x75;0x88;200252
0;0x6;0x71;0x90;0
0;0x6;0x75;0x90;125402
0;0x6;0x71;0x98;0
0;0x6;0x75;0x98;15198
0;0x6;0x71;0xa0;0
0;0x6;0x75;0xa0;13405
0;0x6;0x71;0xa8;0
0;0x6;0x75;0xa8;0
0;0x6;0x71;0xb0;0
0;0x6;0x75;0xb0;0
0;0x6;0x71;0xb8;0
0;0x6;0x75;0xb8;0
0;0x6;0x71;0xc0;170
0;0x6;0x75;0xc0;426
0;0x6;0x71;0xc8;3215
0;0x6;0x75;0xc8;256
0;0x6;0x71;0xd0;0
0;0x6;0x75;0xd0;85
0;0x6;0x71;0xd8;2988
0;0x6;0x75;0xd8;341
0;0x6;0x71;0xe0;256
0;0x6;0x75;0xe0;341
0;0x6;0x71;0xe8;256
0;0x6;0x75;0xe8;426
0;0x6;0x71;0xf0;256
0;0x6;0x75;0xf0;341
0;0x6;0x71;0xf8;256
0;0x6;0x75;0xf8;170
0;0x6;0x71;0x100;256
0;0x6;0x75;0x100;341
0;0x6;0x71;0x108;85
0;0x6;0x75;0x108;341
0;0x6;0x71;0x110;16733
0;0x6;0x75;0x110;85
0;0x6;0x71;0x118;170
0;0x6;0x75;0x118;85
0;0x6;0x71;0x120;85
0;0x6;0x75;0x120;85
0;0x6;0x71;0x128;170
0;0x6;0x75;0x128;170
0;0x6;0x71;0x130;170
0;0x6;0x75;0x130;170
0;0x6;0x71;0x138;85
0;0x6;0x75;0x138;85
0;0x6;0x71;0x140;0
0;0x6;0x75;0x140;0
0;0x6;0x71;0x148;0
0;0x6;0x75;0x148;14854
0;0x6;0x71;0x150;0
0;0x6;0x75;0x150;15565
0;0x6;0x71;0x158;0
0;0x6;0x75;0x158;14199
0;0x6;0x71;0x160;0
0;0x6;0x75;0x160;12663
0;0x6;0x71;0x168;0
0;0x6;0x75;0x168;0
0;0x6;0x71;0x170;0
0;0x6;0x75;0x170;0
0;0x6;0x71;0x178;2069132
0;0x6;0x75;0x178;5346974
0;0x6;0x71;0x180;39958993
0;0x6;0x75;0x180;0
0;0x6;0x71;0x188;8707
0;0x6;0x75;0x188;85
0;0x6;0x71;0x190;362356
0;0x6;0x75;0x190;865
0;0x6;0x71;0x198;2171
0;0x6;0x75;0x198;1118
0;0x6;0x71;0x1a0;1096
0;0x6;0x75;0x1a0;1337
0;0x6;0x71;0x1a8;1334
0;0x6;0x75;0x1a8;1829
0;0x6;0x71;0x1b0;341
0;0x6;0x75;0x1b0;59642
0;0x6;0x71;0x1b8;0
0;0x6;0x75;0x1b8;0
0;0x6;0x71;0x1c0;0
0;0x6;0x75;0x1c0;90768
0;0x6;0x71;0x1c8;512
0;0x6;0x75;0x1c8;10698
0;0x6;0x71;0x1d0;910
0;0x6;0x75;0x1d0;12975
0;0x6;0x71;0x1d8;0
0;0x6;0x75;0x1d8;10015
0;0x6;0x71;0x1e0;0
0;0x6;0x75;0x1e0;10528
0;0x6;0x71;0x1e8;0
0;0x6;0x75;0x1e8;0
0;0x6;0x71;0x1f0;0
0;0x6;0x75;0x1f0;0
0;0x6;0x71;0x1f8;0
0;0x6;0x75;0x1f8;40517
