cmn_idx;event_type;event_id;node_id;counts
0;0x6;0x71;0x0;0
0;0x6;0x75;0x0;78819
0;0x6;0x71;0x8;294546
0;0x6;0x75;0x8;219762
0;0x6;0x71;0x10;233264
0;0x6;0x75;0x10;208811
0;0x6;0x71;0x18;2692
0;0x6;0x75;0x18;69764
0;0x6;0x71;0x20;567
0;0x6;0x75;0x20;17401
0;0x6;0x71;0x28;0
0;0x6;0x75;0x28;0
0;0x6;0x71;0x30;0
0;0x6;0x75;0x30;0
0;0x6;0x71;0x38;0
0;0x6;0x75;0x38;0
0;0x6;0x71;0x40;888
0;0x6;0x75;0x40;666
0;0x6;0x71;0x48;40287307
0;0x6;0x75;0x48;222
0;0x6;0x71;0x50;7034
0;0x6;0x75;0x50;148
0;0x6;0x71;0x58;40320882
0;0x6;0x75;0x58;148
0;0x6;0x71;0x60;44104
0;0x6;0x75;0x60;74
0;0x6;0x71;0x68;0
0;0x6;0x75;0x68;74
0;0x6;0x71;0x70;74
0;0x6;0x75;0x70;444
0;0x6;0x71;0x78;0
0;0x6;0x75;0x78;0
0;0x6;0x71;0x80;0
0;0x6;0x75;0x80;0
0;0x6;0x71;0x88;0
0;0x6;0x75;0x88;176339
0;0x6;0x71;0x90;0
0;0x6;0x75;0x90;111307
0;0x6;0x71;0x98;0
0;0x6;0x75;0x98;8860
0;0x6;0x71;0xa0;0
0;0x6;0x75;0xa0;6539
0;0x6;0x71;0xa8;0
0;0x6;0x75;0xa8;0
0;0x6;0x71;0xb0;0
0;0x6;0x75;0xb0;0
0;0x6;0x71;0xb8;0
0;0x6;0x75;0xb8;0
0;0x6;0x71;0xc0;74
0;0x6;0x75;0xc0;0
0;0x6;0x71;0xc8;3924
0;0x6;0x75;0xc8;0
0;0x6;0x71;0xd0;0
0;0x6;0x75;0xd0;74
0;0x6;0x71;0xd8;74
0;0x6;0x75;0xd8;0
0;0x6;0x71;0xe0;0
0;0x6;0x75;0xe0;74
0;0x6;0x71;0xe8;0
0;0x6;0x75;0xe8;74
0;0x6;0x71;0xf0;0
0;0x6;0x75;0xf0;74
0;0x6;0x71;0xf8;0
0;0x6;0x75;0xf8;0
0;0x6;0x71;0x100;148
0;0x6;0x75;0x100;148
0;0x6;0x71;0x108;74
0;0x6;0x75;0x108;0
0;0x6;0x71;0x110;0
0;0x6;0x75;0x110;611
0;0x6;0x71;0x118;1061
0;0x6;0x75;0x118;613
0;0x6;0x71;0x120;568
0;0x6;0x75;0x120;823
0;0x6;0x71;0x128;789
0;0x6;0x75;0x128;872
0;0x6;0x71;0x130;835
0;0x6;0x75;0x130;0
0;0x6;0x71;0x138;148
0;0x6;0x75;0x138;0
0;0x6;0x71;0x140;0
0;0x6;0x75;0x140;0
0;0x6;0x71;0x148;0
0;0x6;0x75;0x148;12140
0;0x6;0x71;0x150;0
0;0x6;0x75;0x150;12929
0;0x6;0x71;0x158;0
0;0x6;0x75;0x158;8834
0;0x6;0x71;0x160;0
0;0x6;0x75;0x160;8636
0;0x6;0x71;0x168;0
0;0x6;0x75;0x168;0
0;0x6;0x71;0x170;0
0;0x6;0x75;0x170;0
0;0x6;0x71;0x178;1786697
0;0x6;0x75;0x178;4630394
0;0x6;0x71;0x180;0
0;0x6;0x75;0x180;148
0;0x6;0x71;0x188;0
0;0x6;0x75;0x188;0
0;0x6;0x71;0x190;0
0;0x6;0x75;0x190;0
0;0x6;0x71;0x198;1184
0;0x6;0x75;0x198;592
0;0x6;0x71;0x1a0;592
0;0x6;0x75;0x1a0;592
0;0x6;0x71;0x1a8;592
0;0x6;0x75;0x1a8;592
0;0x6;0x71;0x1b0;592
0;0x6;0x75;0x1b0;192359
0;0x6;0x71;0x1b8;0
0;0x6;0x75;0x1b8;0
0;0x6;0x71;0x1c0;0
0;0x6;0x75;0x1c0;78558
0;0x6;0x71;0x1c8;49
0;0x6;0x75;0x1c8;6957
0;0x6;0x71;0x1d0;246
0;0x6;0x75;0x1d0;8981
0;0x6;0x71;0x1d8;49
0;0x6;0x75;0x1d8;3306
0;0x6;0x71;0x1e0;49
0;0x6;0x75;0x1e0;3997
0;0x6;0x71;0x1e8;0
0;0x6;0x75;0x1e8;0
0;0x6;0x71;0x1f0;0
0;0x6;0x75;0x1f0;0
0;0x6;0x71;0x1f8;0
0;0x6;0x75;0x1f8;35132
