cmn_idx;event_type;event_id;node_id;counts
0;0x6;0x71;0x0;0
0;0x6;0x75;0x0;1175437
0;0x6;0x71;0x8;976682
0;0x6;0x75;0x8;662463
0;0x6;0x71;0x10;973611
0;0x6;0x75;0x10;665645
0;0x6;0x71;0x18;976282
0;0x6;0x75;0x18;669294
0;0x6;0x71;0x20;1003681
0;0x6;0x75;0x20;640423
0;0x6;0x71;0x28;0
0;0x6;0x75;0x28;0
0;0x6;0x71;0x30;0
0;0x6;0x75;0x30;0
0;0x6;0x71;0x38;0
0;0x6;0x75;0x38;0
0;0x6;0x71;0x40;46694
0;0x6;0x75;0x40;44182
0;0x6;0x71;0x48;31808
0;0x6;0x75;0x48;97588
0;0x6;0x71;0x50;18321
0;0x6;0x75;0x50;42528
0;0x6;0x71;0x58;11737
0;0x6;0x75;0x58;16890
0;0x6;0x71;0x60;37597
0;0x6;0x75;0x60;498941675
0;0x6;0x71;0x68;14313
0;0x6;0x75;0x68;338278
0;0x6;0x71;0x70;6107
0;0x6;0x75;0x70;3721
0;0x6;0x71;0x78;34702
0;0x6;0x75;0x78;3053
0;0x6;0x71;0x80;0
0;0x6;0x75;0x80;95
0;0x6;0x71;0x88;0
0;0x6;0x75;0x88;581457
0;0x6;0x71;0x90;0
0;0x6;0x75;0x90;607096
0;0x6;0x71;0x98;0
0;0x6;0x75;0x98;611164
0;0x6;0x71;0xa0;0
0;0x6;0x75;0xa0;871344
0;0x6;0x71;0xa8;0
0;0x6;0x75;0xa8;0
0;0x6;0x71;0xb0;0
0;0x6;0x75;0xb0;0
0;0x6;0x71;0xb8;0
0;0x6;0x75;0xb8;0
0;0x6;0x71;0xc0;4178757
0;0x6;0x75;0xc0;53119
0;0x6;0x71;0xc8;15458
0;0x6;0x75;0xc8;63234
0;0x6;0x71;0xd0;507028677
0;0x6;0x75;0xd0;2799
0;0x6;0x71;0xd8;20898
0;0x6;0x75;0xd8;10973
0;0x6;0x71;0xe0;3149
0;0x6;0x75;0xe0;14504
0;0x6;0x71;0xe8;14122
0;0x6;0x75;0xe8;18607
0;0x6;0x71;0xf0;14345
0;0x6;0x75;0xf0;19943
0;0x6;0x71;0xf8;18289
0;0x6;0x75;0xf8;16126
0;0x6;0x71;0x100;340471
0;0x6;0x75;0x100;42209
0;0x6;0x71;0x108;21057
0;0x6;0x75;0x108;75544
0;0x6;0x71;0x110;18512
0;0x6;0x75;0x110;18607
0;0x6;0x71;0x118;154335
0;0x6;0x75;0x118;20802
0;0x6;0x71;0x120;11641
0;0x6;0x75;0x120;13359
0;0x6;0x71;0x128;15458
0;0x6;0x75;0x128;14218
0;0x6;0x71;0x130;68625
0;0x6;0x75;0x130;5152
0;0x6;0x71;0x138;12214
0;0x6;0x75;0x138;4294
0;0x6;0x71;0x140;0
0;0x6;0x75;0x140;0
0;0x6;0x71;0x148;0
0;0x6;0x75;0x148;622358
0;0x6;0x71;0x150;0
0;0x6;0x75;0x150;585207
0;0x6;0x71;0x158;0
0;0x6;0x75;0x158;582053
0;0x6;0x71;0x160;0
0;0x6;0x75;0x160;607354
0;0x6;0x71;0x168;0
0;0x6;0x75;0x168;0
0;0x6;0x71;0x170;0
0;0x6;0x75;0x170;0
0;0x6;0x71;0x178;26492839
0;0x6;0x75;0x178;67578620
0;0x6;0x71;0x180;17653
0;0x6;0x75;0x180;5916
0;0x6;0x71;0x188;2862
0;0x6;0x75;0x188;4866
0;0x6;0x71;0x190;1717
0;0x6;0x75;0x190;3435
0;0x6;0x71;0x198;5820
0;0x6;0x75;0x198;585671
0;0x6;0x71;0x1a0;6234
0;0x6;0x75;0x1a0;8492
0;0x6;0x71;0x1a8;3626
0;0x6;0x75;0x1a8;2480
0;0x6;0x71;0x1b0;4834
0;0x6;0x75;0x1b0;2862
0;0x6;0x71;0x1b8;26837
0;0x6;0x75;0x1b8;47879
0;0x6;0x71;0x1c0;0
0;0x6;0x75;0x1c0;1169692
0;0x6;0x71;0x1c8;944763
0;0x6;0x75;0x1c8;600828
0;0x6;0x71;0x1d0;945339
0;0x6;0x75;0x1d0;596596
0;0x6;0x71;0x1d8;939091
0;0x6;0x75;0x1d8;563184
0;0x6;0x71;0x1e0;952276
0;0x6;0x75;0x1e0;594598
0;0x6;0x71;0x1e8;0
0;0x6;0x75;0x1e8;0
0;0x6;0x71;0x1f0;0
0;0x6;0x75;0x1f0;0
0;0x6;0x71;0x1f8;532
0;0x6;0x75;0x1f8;0
