"watchpoint_up";"type=0x7770,eventid=0x0,wp_dev_sel=?,wp_chn_sel=?,wp_grp=?,wp_val=?,wp_mask=?"
"rnid_s0_wdata_beats";"type=0xa,eventid=0xc"
"mxp_w_rsp_txflit_valid";"type=0x6,eventid=0x25"
"mxp_e_snp_txflit_valid";"type=0x6,eventid=0x41"
"rnid_txdat_flits";"type=0xa,eventid=0x5"
"hnf_sfbi_dir_snp_sent";"type=0x5,eventid=0x19"
"mxp_e_rsp_partial_dat_flit";"type=0x6,eventid=0x23"
"hni_rrt_wr_alloc";"type=0x4,eventid=0x26"
"rnid_rdb_unord";"type=0xa,eventid=0x11"
"mxp_p1_snp_txflit_valid";"type=0x6,eventid=0x55"
"mxp_s_rsp_txflit_valid";"type=0x6,eventid=0x2d"
"hni_awvalid_no_awready";"type=0x4,eventid=0x2d"
"mxp_e_dat_txflit_valid";"type=0x6,eventid=0x61"
"hnf_stash_snp_sent";"type=0x5,eventid=0x1d"
"mxp_e_dat_partial_dat_flit";"type=0x6,eventid=0x63"
"hnf_stash_data_pull";"type=0x5,eventid=0x1e"
"hni_rrt_wr_occ_cnt_ovfl";"type=0x4,eventid=0x21"
"mxp_p1_dat_txflit_valid";"type=0x6,eventid=0x75"
"hnf_seq_hit";"type=0x5,eventid=0x17"
"hnf_pocq_retry";"type=0x5,eventid=0x4"
"mxp_s_req_partial_dat_flit";"type=0x6,eventid=0xf"
"hnf_txdat_stall";"type=0x5,eventid=0x14"
"mxp_p0_req_txflit_valid";"type=0x6,eventid=0x11"
"mxp_w_req_partial_dat_flit";"type=0x6,eventid=0x7"
"mxp_e_rsp_txflit_stall";"type=0x6,eventid=0x22"
"mxp_w_req_txflit_stall";"type=0x6,eventid=0x6"
"mxp_n_rsp_txflit_valid";"type=0x6,eventid=0x29"
"hnf_mc_retries";"type=0x5,eventid=0xc"
"mxp_p1_req_partial_dat_flit";"type=0x6,eventid=0x17"
"mxp_p1_rsp_txflit_stall";"type=0x6,eventid=0x36"
"hnf_qos_pocq_occupancy_all";"type=0x5,eventid=0xf,occupid=0x0"
"hnf_ld_st_swp_adq_full";"type=0x5,eventid=0x12"
"mxp_s_req_txflit_stall";"type=0x6,eventid=0xe"
"mxp_w_snp_txflit_valid";"type=0x6,eventid=0x45"
"rnid_rxdat_flits";"type=0xa,eventid=0x4"
"rnid_rrt_occ_ovfl";"type=0xa,eventid=0x8"
"hnf_sf_evictions";"type=0x5,eventid=0x7"
"dn_rxreq_trk_occupancy_dvmop";"type=0x1,eventid=0x5,occupid=0x1"
"hnf_snp_fwded";"type=0x5,eventid=0x1f"
"hnf_pocq_reqs_recvd";"type=0x5,eventid=0x5"
"rnid_wrt_occ_ovfl";"type=0xa,eventid=0x9"
"mxp_s_snp_txflit_valid";"type=0x6,eventid=0x4d"
"mxp_w_dat_txflit_valid";"type=0x6,eventid=0x65"
"hni_pcie_serialization";"type=0x4,eventid=0x32"
"rnid_txreq_flits_retried";"type=0xa,eventid=0x7"
"hni_nonpcie_serialization";"type=0x4,eventid=0x31"
"hni_arready_no_arvalid";"type=0x4,eventid=0x2c"
"rnid_rdb_replay";"type=0xa,eventid=0x12"
"hnf_pocq_addrhaz";"type=0x5,eventid=0x10"
"mxp_n_req_txflit_stall";"type=0x6,eventid=0xa"
"hni_wvalid_no_wready";"type=0x4,eventid=0x2f"
"mxp_s_dat_txflit_valid";"type=0x6,eventid=0x6d"
"hnf_qos_pocq_occupancy_atomic";"type=0x5,eventid=0xf,occupid=0x3"
"mxp_p0_rsp_txflit_valid";"type=0x6,eventid=0x31"
"hnf_qos_hh_retry";"type=0x5,eventid=0xe"
"mxp_w_rsp_txflit_stall";"type=0x6,eventid=0x26"
"mxp_n_req_partial_dat_flit";"type=0x6,eventid=0xb"
"mxp_e_snp_txflit_stall";"type=0x6,eventid=0x42"
"mxp_n_snp_txflit_valid";"type=0x6,eventid=0x49"
"dn_rxreq_dvmsync";"type=0x1,eventid=0x2"
"hnf_cache_miss";"type=0x5,eventid=0x1"
"mxp_p1_snp_txflit_stall";"type=0x6,eventid=0x56"
"mxp_s_rsp_txflit_stall";"type=0x6,eventid=0x2e"
"mxp_e_dat_txflit_stall";"type=0x6,eventid=0x62"
"mxp_p0_req_partial_dat_flit";"type=0x6,eventid=0x13"
"mxp_n_dat_txflit_valid";"type=0x6,eventid=0x69"
"hnf_slc_eviction";"type=0x5,eventid=0xa"
"hnf_brd_snoops_sent";"type=0x5,eventid=0x9"
